gene_id transcript_id K562_1 K562_10 K562_11 K562_12 K562_13 K562_14 K562_15 K562_16 K562_17 K562_18 K562_19 K562_2 K562_20 K562_21 K562_22 K562_23 K562_24 K562_25 K562_26 K562_27 K562_28 K562_29 K562_3 K562_30 K562_31 K562_32 K562_33 K562_34 K562_35 K562_36 K562_37 K562_38 K562_39 K562_4 K562_40 K562_41 K562_42 K562_5 K562_6 K562_7 K562_8 K562_9
ENSG00000228327 ENST00000428504.1_RP11-206L10.2-001 0.89 0 0 1.11 5.04 1.83 0 6.06 0 0 0 0 0 0 0 0 0.51 0 1.7 0.59 0 0 0 1.13 0 0 1.89 2.17 0 0 0 3.52 0 0 2.49 5.57 0 7.59 1.52 0 1.3 2.47
ENSG00000078808 ENST00000263741.7_SDF4-007 0 0.17 1.11 0 0 0 3.03 0 15.62 0 2.1 0 0 0.33 0.3 0.33 0 0 7.33 1 0.47 0.27 3.92 2.36 0.66 4.48 3.41 0.61 0.04 0 0 0 0.56 0.74 0.25 0 5.69 0.74 0 4.14 0 0
ENSG00000127054 ENST00000323275.6_CPSF3L-004 38.65 14.4 0 0 9.86 50.56 15 32.27 48.02 3.21 13.38 21.9 62.22 41.15 15.68 81.24 71.52 127.12 49.07 50.53 19.92 12.23 50.23 36.04 28.83 0 114.07 14.22 125.07 6.93 4.78 45.1 1.36 0 37.22 0 26.94 25.09 18.5 11.63 29.17 17.66
ENSG00000221978 ENST00000400809.3_CCNL2-001 1.54 24.56 8.59 3.82 15.47 24.26 4.78 0 1.6 2.72 0 15.51 0 31.95 1.4 0 14.92 0 32.86 0 3.86 1.12 86.03 3.35 23.25 30.23 50.32 82.38 13.55 14.17 69.83 0 0 7.46 2.01 0.45 5 3.37 0 0 0.66 0.64
ENSG00000225285 ENST00000417917.1_RP4-758J18.10-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000248333 ENST00000317673.7_CDK11B-201 15.75 13.49 26.89 5.34 26.62 40.81 14.32 7.78 0 0 7.36 3.84 9.28 9.11 24.94 23.07 13.45 11.51 9.07 6 21.99 5.28 27.51 23.31 62.79 6.53 19.86 28.34 11.89 29.62 24.75 3.42 24.82 9.41 3.07 10.59 18.26 7.04 24.36 34.64 21.03 0.89
ENSG00000008128 ENST00000356200.3_CDK11A-008 3.73 31.92 27.75 2.17 21.11 27.36 21.56 15.94 0.58 24.35 29.78 23.83 2.84 7.26 49.63 26.27 29.39 40.94 10.18 11.81 14.2 5.96 25.4 29.68 27.94 7.62 57.27 39.72 3.46 12.34 11.6 31.67 29.09 5.11 12.15 17.38 19.43 5.2 32.67 29.77 6.68 11.62
ENSG00000116151 ENST00000378525.2_MORN1-010 0 0.19 0 0 0 0 0 0 0.29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0.27 0 0 0 0
ENSG00000116198 ENST00000378223.3_CEP104-002 3.36 1.75 2.34 0 1.74 2.71 1.74 2.23 0.14 43.33 0.71 0.16 3.04 9.3 0.09 0.23 11.98 1.6 10.33 10.85 34.91 11 6.14 4.82 5.08 2.13 13.09 0.34 0 0.62 10.76 0 0.25 11.47 0.86 7.87 0.42 0.79 1.08 1.71 0.46 2.45
ENSG00000198912 ENST00000361605.3_C1orf174-001 38.94 32.57 28.82 64.87 52.04 79.36 34.3 18.84 93.85 79.65 58.67 35.05 40.24 49.39 172.99 34.47 23.23 61.88 78.4 65.93 79.42 78.57 58.84 38.95 87.04 104.14 40.82 182.62 73.24 24.01 18.09 63.41 37.21 22.55 129.89 84.07 113.25 16.36 36.16 70.47 74.04 59.46
ENSG00000116237 ENST00000343813.5_ICMT-001 2.29 1.19 15.64 14.22 4.48 19.8 8.5 8.5 2.17 11.26 1.2 0.51 13.41 1.18 29.41 14.06 0 20.94 0.74 13.17 17.14 6.17 18.59 33.44 36.54 17.32 20.35 3.29 20.94 3.16 8.47 7.67 9.89 22.67 0.3 14.53 0 0.1 6.38 30.2 16.03 12.85
ENSG00000069812 ENST00000377837.1_HES2-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116285 ENST00000377482.5_ERRFI1-001 0 0 2.63 0 0 0.16 0 0.7 0 0 0 0.38 0 0 0.18 0 0 0 0 0 20.87 0 0 0 0 0 0 1 0 1.48 0 0 0 1.2 0 0 0 0 1.27 0 0 2.09
ENSG00000162441 ENST00000377213.1_LZIC-005 57.65 46.91 97.97 241.07 102.25 124.64 52.27 46.44 67.49 46.87 76.66 32.28 45.41 43.99 76.19 32.9 120.24 61 99.24 53.58 197.94 115.91 144.75 110.06 73.3 101.43 161.22 30.65 119.16 87.07 66.99 48.31 149.8 86.61 184.48 95.44 55.88 66.24 32.36 100.07 57.57 131.6
ENSG00000116670 ENST00000235310.3_MAD2L2-001 11.09 0 0 18.81 0 0 8.34 0 0 0 0 0.89 0 0 0 0 0 0 74.91 0 0 0 3.25 0 2.69 0 0 0 0 0 6.54 0 0 0 0.26 0 0.47 0 0 0 0 6.87
ENSG00000175147 ENST00000310916.3_TMEM51-AS1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0 0 0
ENSG00000228140 ENST00000427824.1_RP3-467K16.4-001 0 0.06 0 0 0.01 0.19 0 0 0.27 0 0 0 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0.27 0 0 0 0 0 0 0 0
ENSG00000132906 ENST00000375890.4_CASP9-008 0 0 0.96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.82 0 0 0 0 0 0 0 0 13.65 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000037637 ENST00000375592.3_FBXO42-001 8.78 0.49 15.57 1.78 0.86 13.25 2.05 1.73 0 1.97 7.96 0.96 2.89 25.53 0.09 3.39 6.56 0.17 37.53 35.86 0.16 0 0.17 0.87 16.73 2.54 2.24 3.22 2.15 0 18.3 41.42 0.17 6.18 3.75 0.16 15.44 0.95 6.56 0.6 1.05 1.51
ENSG00000127481 ENST00000375217.2_UBR4-201 7.38 0.23 2.12 4.21 3.85 1.83 6.85 8.16 7.69 0 5.84 12.05 0.24 7.46 1.36 5.34 0.82 20.46 1.84 1.31 6.24 8.22 0.71 0.47 1.95 4.86 2.13 0.96 0.12 7.2 3.2 0.82 0.97 5.06 1.05 2.8 5.24 5.28 6.41 6.44 0.88 3.39
ENSG00000053371 ENST00000235835.3_AKR7A2-001 0 10.66 0 10 9.22 64.46 6.01 9.45 0 7.45 61.73 8 0.42 0 1.74 0 48.32 0 28.29 1.64 3.29 0 40.36 16.23 41.05 5.14 1.32 0.56 0 0.47 0 0 1.22 0 0.94 26.35 0.4 57.39 3.57 0.49 11.27 11.46
ENSG00000235185 ENST00000416470.1_RP5-1056L3.1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000236810 ENST00000427796.1_RP5-886K2.3-001 14.33 70.38 79.25 119.11 22.61 3.37 0 22.81 35.87 0 38.85 7.62 36.61 0 0 20.1 0.64 21.09 0 26.39 107.41 0 0 6.56 18.94 0 0 13.86 0.44 29.46 0 34.77 0 4.07 38.71 43.11 30.64 40.99 88.68 53.65 102.57 15.04
ENSG00000188822 ENST00000536471.1_CNR2-201 0 0 0 0 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
