gene_id transcript_id scRNAseq_HepG2_72x_15_1.1 scRNAseq_HepG2_72x_15_1.2 scRNAseq_HepG2_72x_15_1.3 scRNAseq_HepG2_72x_15_1.4 scRNAseq_HepG2_72x_15_1.5 scRNAseq_HepG2_72x_15_1.6 scRNAseq_HepG2_72x_15_1.8 scRNAseq_HepG2_72x_15_2.1 scRNAseq_HepG2_72x_15_2.2 scRNAseq_HepG2_72x_15_2.3 scRNAseq_HepG2_72x_15_2.4 scRNAseq_HepG2_72x_15_2.5 scRNAseq_HepG2_72x_15_2.6 scRNAseq_HepG2_72x_15_2.7 scRNAseq_HepG2_72x_15_2.8 scRNAseq_HepG2_72x_15_3.1 scRNAseq_HepG2_72x_15_3.2 scRNAseq_HepG2_72x_15_3.3 scRNAseq_HepG2_72x_15_3.4 scRNAseq_HepG2_72x_15_3.5 scRNAseq_HepG2_72x_15_3.7 scRNAseq_HepG2_72x_15_3.8 scRNAseq_HepG2_72x_15_4.1 scRNAseq_HepG2_72x_15_4.2 scRNAseq_HepG2_72x_15_4.3 scRNAseq_HepG2_72x_15_4.4 scRNAseq_HepG2_72x_15_4.5 scRNAseq_HepG2_72x_15_4.6 scRNAseq_HepG2_72x_15_4.7 scRNAseq_HepG2_72x_15_4.8 scRNAseq_HepG2_72x_15_5.1 scRNAseq_HepG2_72x_15_5.2 scRNAseq_HepG2_72x_15_5.4 scRNAseq_HepG2_72x_15_5.5 scRNAseq_HepG2_72x_15_5.6 scRNAseq_HepG2_72x_15_5.7 scRNAseq_HepG2_72x_15_5.8 scRNAseq_HepG2_72x_15_6.1 scRNAseq_HepG2_72x_15_6.2 scRNAseq_HepG2_72x_15_6.3 scRNAseq_HepG2_72x_15_6.4 scRNAseq_HepG2_72x_15_6.5 scRNAseq_HepG2_72x_15_6.6 scRNAseq_HepG2_72x_15_6.7 scRNAseq_HepG2_72x_15_6.8 scRNAseq_HepG2_72x_15_7.1 scRNAseq_HepG2_72x_15_7.2 scRNAseq_HepG2_72x_15_7.3 scRNAseq_HepG2_72x_15_7.4 scRNAseq_HepG2_72x_15_7.5 scRNAseq_HepG2_72x_15_7.6 scRNAseq_HepG2_72x_15_8.1 scRNAseq_HepG2_72x_15_8.2 scRNAseq_HepG2_72x_15_8.3 scRNAseq_HepG2_72x_15_8.4 scRNAseq_HepG2_72x_15_8.6 scRNAseq_HepG2_72x_15_8.7 scRNAseq_HepG2_72x_15_8.8 scRNAseq_HepG2_72x_15_9.1 scRNAseq_HepG2_72x_15_9.2 scRNAseq_HepG2_72x_15_9.3 scRNAseq_HepG2_72x_15_9.5 scRNAseq_HepG2_72x_15_9.6 scRNAseq_HepG2_72x_15_9.7 scRNAseq_HepG2_72x_15_9.8
ENSG00000228327 ENST00000428504.1_RP11-206L10.2-001 0 5.96 0 0 0.69 0 0 1.1 0 0 0 0 0 0 0 0 1.74 0 1.06 0 0 4.64 0 0 0 0 0 0 0 0 0 0 0 5.91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45.58 0 0 0 0 15.94 0 0 0 1.25 0 0 0 0 0 0
ENSG00000078808 ENST00000263741.7_SDF4-007 0 9.61 0 10.06 1.36 0 2.82 3.63 3.69 1.33 0.95 3.61 7.31 32.78 1.85 0 1.97 14.28 17.82 11.08 1.84 0 43.32 8.09 0 3.8 1.98 0.47 0.84 0 0.55 4.41 6.25 17.43 5.7 0 13.78 0 0 1.52 0.82 0.42 0 4.54 5.72 0 3.12 1.82 10.03 0.68 13.16 1.32 0 0 0 3.61 27.77 0 0 2.19 10.89 3.25 2.23 1.74 0
ENSG00000127054 ENST00000323275.6_CPSF3L-004 90.49 98.37 429.87 25.62 56.43 90.67 73.46 25.12 107.89 59.68 36.1 71.76 75.12 11.75 49.61 7.99 49.46 187.83 26.79 41.57 0 5.07 0.66 68.25 38.15 1.5 29.23 11.29 0 0 38.07 15.93 4.02 77.41 1.21 86.02 34.4 67.86 0 86.9 44.79 45.41 0.84 0 8.46 0 63.19 100.14 0 0 7.71 14.41 0 17.17 181.97 21.86 0 1.39 38.19 43.09 40.29 43.54 32.86 19.91 0
ENSG00000221978 ENST00000400809.3_CCNL2-001 0 31.91 160.11 17.4 0 0 21.02 0 8.98 2.65 0 0 11 26.5 0 37.98 19.3 28.84 5.66 0 4.97 9 48.44 46.67 0.89 44.52 35.12 33.82 0 0 0 0 23.76 0 0 58.13 61.55 0 0.73 5.95 13.39 42.12 0 55.87 0.46 42.35 0.44 150.98 0 0 7.74 0 0.79 1.69 0 17.27 0 0.73 0 0 9.66 42.14 0 4.92 10.15
ENSG00000225285 ENST00000417917.1_RP4-758J18.10-002 0 0 0 0 2.52 0 0 0 0 0 0 0 0 0 0 1.23 2.11 0.97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.81 0 0
ENSG00000248333 ENST00000317673.7_CDK11B-201 28.4 12.94 27.74 12.44 6.75 0 17.39 47.88 11.05 9.87 10.47 5.56 6.24 2.4 9.25 9.54 17.89 0 27.48 27.17 30.36 37.64 4.55 20.4 15.69 0 30.31 23.98 36.81 30.78 0 0 32.11 12.36 30.1 0 0 47.55 43.76 96.46 19.12 46.32 0 43.01 35.88 55.31 54.71 0 31.24 43.41 32.84 9.49 11.85 59.4 114.62 2.44 0 0 0 0 37.43 15.3 0 44.53 7.44
ENSG00000008128 ENST00000356200.3_CDK11A-008 26.92 4.59 0 0 3.75 0 0 11.63 2.41 0 10.37 4.26 10.6 0 4.85 9.95 19.79 0 7.65 10.7 1.12 18.2 0 4.96 3.78 0 18.8 14.13 24.37 2.75 0 0 18.93 13.29 12.5 21.9 25.4 8.01 13.5 52.08 12.17 5.91 0 1.57 27.4 22.65 17.37 0 27.45 7.68 28.42 1.65 0 8.75 24.66 3 0 0 0 0 43.42 16.85 4.02 38.32 5.46
ENSG00000116151 ENST00000378525.2_MORN1-010 0 0 0 30.96 0 0 0 4.21 0 4.79 0 0 0 0 0 11.37 0 3.87 0 4.79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36.37 0 0 4.78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116198 ENST00000378223.3_CEP104-002 0 0 0 0 3.61 0 1.24 21.61 0 0 0 0 1.07 0 0 0 0.34 0 4.57 4.47 0.25 1.51 0.19 0 0 0 0 0.14 0 0 5.56 0 0 5.18 0.25 0.17 0 1.18 0.07 0 0.6 0 0 0 0 0 1.62 0 3.22 0 0 2.55 0.29 0.76 0 0 0 0 0 0 0 0 0 0 0
ENSG00000198912 ENST00000361605.3_C1orf174-001 21.11 163.73 116.24 43.66 49.52 70.27 165.49 82.7 126.9 31.9 85.46 100.64 77.71 9.97 39.86 90.2 57.28 0.26 114.9 97.12 95.55 46.14 68.49 76.86 66.98 52.77 32.43 93.54 6.95 67.84 182.36 43.1 45.39 254.9 48.72 186.29 13.85 15.76 86.94 87.67 85.49 109.85 82.97 64.53 39.94 42.31 47.61 99.36 31.77 95.47 86.33 71.89 79.23 60.32 35.65 102.2 67.8 39.88 76.3 50.64 56.41 60.36 51.7 43.62 64.23
ENSG00000116237 ENST00000343813.5_ICMT-001 0 0 0 20.89 7.62 14.99 0 20.09 17.85 52.62 0 0 15.32 12.7 1.66 54.07 14.59 0 3.56 48.89 5.56 22.5 0.16 119.47 0 31.73 0.44 8.45 0 1.11 53.09 13.27 23.8 87.17 3.51 0 0.19 0 0.09 17.31 11.17 62.68 0 15.91 0 27.45 7.83 0 0 62.23 17.17 25.08 0.53 7.88 0 6.42 38.74 35.28 0 128.22 7.52 11.41 0 12 0.16
ENSG00000069812 ENST00000377837.1_HES2-002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116285 ENST00000377482.5_ERRFI1-001 10.76 91.08 53.33 193.81 52.57 50.54 50.32 54.36 61.22 63.89 126.13 33.23 101.49 41.74 46.01 88.35 42.96 45.46 120.83 73.71 56.06 64.53 207.71 132.98 5.18 92.43 211.13 120.21 18.69 45.2 195.27 392.3 81.48 21.25 420.72 184.08 12.08 1048.98 25.4 424.11 126.64 176.11 99.79 192.78 173.66 147.15 178.46 129.18 77.43 38.58 362.69 43.62 36.12 95.59 3.86 83.99 233.08 30.58 69.25 38.86 50.06 76.04 61.86 91.69 50.22
ENSG00000162441 ENST00000377213.1_LZIC-005 87.8 181.06 43.32 72.41 102.57 213.27 114.73 70.57 237.37 121.45 129.7 89.18 89.84 139 52.25 63.9 32.5 69.4 48.12 119.94 76.45 116.4 16.44 50.98 5.72 111.92 192.4 64.52 111.78 127.87 65.8 121.78 138.34 192.32 170.61 33.95 107.7 49.34 10.94 109.89 55.86 111.07 252.38 0 233.46 78.24 296.18 93.38 84.29 0 37.18 140.54 93.59 36.62 0 44.75 131.22 72 64.63 180.91 90.07 254.34 145.14 93.53 165.81
ENSG00000116670 ENST00000235310.3_MAD2L2-001 0 0 0 0 0 0 0 0 0 0 0 0 16.24 0 0 0 0 0 0 0 0 0 0 0 0 0 1.12 0 0 0 0 0 0 0 0 0 0 0 0 0 5.43 0 0.73 0 0 0 0 0.54 0 0 0 24.81 12.59 0 0 0 0 0 0 59.52 0 0 0 0 0
ENSG00000175147 ENST00000310916.3_TMEM51-AS1-001 0 0 0 0 0 0 0 0 4.42 0 0 0.24 0 0.67 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22.86 0 0.4 0 0 0 0 0 0 2.72 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000228140 ENST00000427824.1_RP3-467K16.4-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000132906 ENST00000375890.4_CASP9-008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.06 0 0 0 0 0 0 0 0 0 1.44 0 0 0 0 0 0 0 0 7.4 0
ENSG00000037637 ENST00000375592.3_FBXO42-001 0.21 0.09 0 19.6 9.71 12.75 6.91 9.05 18.99 21.85 0 24.07 16.8 5.84 0 12.86 1.86 0 13.16 13.17 0.11 7.22 0.14 0 9.6 15.08 0 11.19 4.79 0 0 0 0.87 0 0 0 14.93 16.92 14.95 0 0 0 0 6.46 0 1.76 2.18 0 0 4.5 0.14 0.07 6.57 0.17 0 8 0 0 1.82 0 0 0 0 5.35 0
ENSG00000127481 ENST00000375217.2_UBR4-201 0 0.12 0 0 2.21 0 0 0 0.1 0 0 0.32 0.16 0 1.41 0.57 0 0 0.89 0 0 0 0 0 0 0 0 0.31 0 0 0.03 0 0 0 0 0 1.28 7.08 0.03 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0.15 0 0 0 0 0 0 0 0 0
ENSG00000053371 ENST00000235835.3_AKR7A2-001 91.32 61.83 0 114.53 129.33 145.9 85.88 208.12 120.82 187.28 159.69 253.81 250.59 65.06 267.12 233.65 96.07 180.96 77.51 96.87 75.95 25.16 29.51 36.28 12.6 82.8 72.69 0 40.55 0.44 125.02 101.09 42.06 53.98 80.78 24.64 176.5 0 97.09 0 65.8 130.25 0 57.57 1.68 26.39 106.13 58.2 135.91 64.3 0 80.64 0.55 62.95 0.73 205.98 128.08 121.3 6.28 0.27 86.17 92.71 0 57.57 0
ENSG00000235185 ENST00000416470.1_RP5-1056L3.1-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000236810 ENST00000427796.1_RP5-886K2.3-001 0 82.81 0 0 10.1 0 24.7 13.8 0 0 6 32.47 0 49.28 0 0 12.14 0 0 25.76 22.04 0 0 0 0 0 0 30.06 0 0 0 0 0 0 0 0 0 69.07 0 0 0 0 0 0 0 22.57 27.4 0 0 0 44.45 0 0 0 0 0 0 0 0 0 0 0 0 0 30.7
ENSG00000188822 ENST00000536471.1_CNR2-201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000264443 ENST00000577528.1_RP4-594I10.3-001 0 0 0 0 1.64 0 0 1.54 0.46 7.15 0 0 0 0 0 0 0 0 0 0.45 12.85 0 0 0 0 2.19 0 0 0 0 0 0 0 0 0 0 0 0 15.97 0 0 0 0 0 0 0 1.08 0 0 0 10.13 0 0 0 0 0 0 0 12.02 0 0 0 0 1.25 0
ENSG00000127423 ENST00000374298.3_AUNIP-001 0 0 0 38.32 31.17 34.61 33.82 9.68 25.58 33.98 22.5 12.86 22.06 28.05 0 38.7 13.29 0 15.32 31.03 3.89 0 0 47.69 0 0 42.67 85.56 20.41 0 54 0.25 1.79 59.58 0 0 0 0 0 0.39 17.22 0 0 0 0 27.81 0 0 0 0 12.89 22.19 34.07 7.1 0 0 0 0 0 0 8.85 0 0 3.83 34.26
ENSG00000224311 ENST00000425205.1_RP11-40H20.4-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000120656 ENST00000263974.4_TAF12-001 0 0 0 7.04 63.54 167.91 62.05 48.53 68.3 97.65 60.28 27.24 107.27 30.83 58.08 46.02 64.92 10.21 88.71 41.84 38.67 130.28 0 56.82 41.82 0 42.7 49 199.75 77.86 3.43 30.18 23.7 0 112.1 177.01 100.95 61.75 71.92 59.28 66.86 0 148.2 4.81 0 102.85 28.97 42.25 68.67 77.92 84.21 61.34 100.32 45.48 185.91 27.56 76.02 0 18.04 84.07 119.71 31.85 0.65 148.6 0.75
