gene_id transcript_id K562_1 K562_10 K562_11 K562_12 K562_13 K562_14 K562_15 K562_16 K562_17 K562_18 K562_19 K562_2 K562_20 K562_21 K562_22 K562_23 K562_24 K562_25 K562_26 K562_27 K562_28 K562_29 K562_3 K562_30 K562_31 K562_32 K562_33 K562_34 K562_35 K562_36 K562_37 K562_38 K562_39 K562_4 K562_40 K562_41 K562_42 K562_5 K562_6 K562_7 K562_8 K562_9
ENSG00000237491 ENST00000429505.1_RP11-206L10.9-001 0.78 0 0 0 0 0 0 2.03 0 0 1.61 44.82 0 0 0 2.6 0 0 0 0 0.93 0 0 0 4.97 0 0 0 0 0 0 0 0 0 3.98 0 0 0 0 6.43 0 0
ENSG00000176022 ENST00000379198.2_B3GALT6-001 0 0 40.49 47.14 5.97 1.94 8.88 0 1.67 0 1.24 0 0 2.28 0 0 3.71 0 0.69 1.15 0 14.69 0 5.89 0 0 0.21 0 0 0.19 2.25 0 0 0 0 1.27 0.19 0 0.73 0.2 4.93 1.79
ENSG00000224051 ENST00000343938.4_GLTPD1-001 0 0 0 2.37 0.4 0 1.3 0 0 0 0.53 0 0.77 0.59 0 0.29 0 0 2.67 0 0.83 1.7 0.47 0 9.71 0 0 0.54 0 0.48 0.89 0 2.22 1.54 0 0 0 0 2.34 3.27 0 0.48
ENSG00000224870 ENST00000418833.2_RP4-758J18.2-003 4.27 0.44 0.77 11.65 3.29 0 0 12.19 0 0 26.7 0 0.77 0 18.69 0 0 1.39 0 0 0 0 0 20.75 0.56 2.28 1.9 0.89 0 1.35 26.36 0 0 0 2.47 10.91 27.1 0 2.01 1.43 0.69 0
ENSG00000179403 ENST00000338660.5_VWA1-002 0 0 0 0 0 0 0 0 0 0.17 0 0 0 0 0 0 0 0 0 0.12 0 0 0 0 0 0 0.27 0 0 0.12 0 0 0 0 0 0.12 0 0 0 0.73 0 0
ENSG00000272004 ENST00000607013.1_RP11-345P4.10-001 0 1.99 0 0 7.32 11.28 13.57 5.5 0 0 5.76 0 3.88 6.77 0 5.25 13.17 0 0 0 9.54 0 0 0 15.78 0 0 21.54 0 0 0 4.49 0 4.97 0 0 0.58 62.99 1.73 7.58 0 0
ENSG00000227775 ENST00000417099.1_RP1-283E3.4-002 0 0 0 13.58 0 0.54 2.54 0 0 0 0 0 0 0 0 0 0 0 0 1.64 3.21 1.48 0 0 0 0 0 4.82 0 1.6 0 0 0.27 0 1.46 3.25 0 5.85 2.57 0 0 0
ENSG00000157916 ENST00000306256.9_RER1-008 1.34 47.58 10.84 31.87 49.32 33.3 23.45 26.97 21.31 3.49 4.35 3.71 19.23 4.15 29.76 17.5 37.52 93.28 5.51 9.68 30.49 2.35 0.79 5.51 0 2.51 3.4 18.03 9.46 4.1 10.25 2.13 15.33 29.82 1.44 0.8 12.89 2.8 9.46 26.77 14.54 3.37
ENSG00000169598 ENST00000338895.3_DFFB-201 0 0.13 8.71 0 0 1.05 0.21 0 69.5 0 0 0 27.65 0 0 12.61 0 0 0 0 0.17 0 0 4.24 0 4.6 27.47 26.44 1.27 0.38 0.45 0 0 7.16 9.2 0 1.97 5.02 12.73 0.2 4.06 2.11
ENSG00000236423 ENST00000413332.1_RP13-15E13.1-002 0 0 0 0 0 0 0.4 0 0 0.25 0 0 0.99 0 0 0 0 17.22 0 0 0 0 0 0.32 0 0 0 0.33 0 0 0 0 0 0 0.25 0 0 0 1.18 0.18 0 0
ENSG00000225077 ENST00000429480.2_LINC00337-001 0 0 0 0 0 0 0 0.68 0 0 0 0 0 0.51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.51 0 0
ENSG00000187017 ENST00000377828.1_ESPN-001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000238290 ENST00000445300.1_RP11-431K24.1-001 0 0 0 0 0.21 0 0 0 0 0 0 0.18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0
ENSG00000173614 ENST00000377205.1_NMNAT1-001 0 16.04 23.99 1.98 18.11 6.94 9.76 6.33 24.45 14.56 4.46 82.22 3.24 8.67 1.11 4.76 0 0.14 1.08 0 21.8 0 1.15 0.18 0.71 1.67 13.22 41.32 0.25 26.5 1.26 0 0 13.24 46.43 0 28.15 41.41 6.96 20.05 22.9 4.31
ENSG00000162490 ENST00000294485.5_DRAXIN-001 0 0.04 0 0 0 0 0.08 0 0 0 0 0 0.07 0.08 0.08 0 0 0 0.26 0 0.06 0.07 0 0 0 0 0.15 0 0 0.07 0 0 0.14 0.13 0 0.07 0 0 0.14 0 0 0
ENSG00000171729 ENST00000376008.2_TMEM51-001 0 0 0 0 0 0 0.31 0 0 0 1.66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.79
ENSG00000142634 ENST00000375980.4_EFHD2-001 0 0 0.97 0.58 0 10.03 1.17 1.21 0.51 0 0.96 0 5.41 5.83 1.43 0 7.53 0 2.41 2.44 0 0 0.21 0 0 1.43 1.68 0.65 0.56 0.22 0.2 0.21 5.34 0.59 0 0 0 0 0.42 0.45 0.21 2.08
ENSG00000116138 ENST00000375838.1_DNAJC16-002 2.75 7.36 12.89 2.5 2.58 11.88 25.77 24.17 20.36 4.97 9.97 0.15 0 0.83 4 6.1 7.89 2.12 8.77 1.87 0.74 1.93 4.55 11.47 14.41 1.98 35.96 3.16 28.84 16 1.77 58.32 8.82 22.52 10.88 19.31 3.86 17.41 14.39 1.98 33.87 20.26
ENSG00000055070 ENST00000475078.1_SZRD1-010 0 0 0 0 0 1.2 0 0 0 0 0 0 15.41 0 0 0 0 0 0 0 0 0 0 13.36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000230424 ENST00000437898.1_RP1-43E13.2-001 0 0 0 0 0 0 1.59 0 0 0 0 0 0 0 0 0 0 1.23 0 0 0 4.28 0 0 0.61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000040487 ENST00000375153.3_PQLC2-002 0 1.14 1.36 0 11.08 0 0 1.49 18.84 0 31.14 0 41.13 0.72 34.24 0 0 33.82 10.54 0 58.47 0 0 0 0.31 4.7 7.29 0.53 0 30.17 0.23 0 0 2.6 0 0 7.23 1.9 0 0.37 133.59 0
ENSG00000173436 ENST00000322753.6_MINOS1-001 757.31 866.54 806.57 690.71 567.49 678.89 568.93 698.36 911.64 694.58 586.52 849.66 422.48 829.57 568.49 480.74 729.01 735.69 858.14 767.49 954.32 613.06 944.27 504.69 711.13 771.75 797.58 632.38 847.33 770.23 722.22 939.7 865.71 949.57 702.8 923.34 783.45 925.74 794.44 958.65 741.48 577.94
ENSG00000057757 ENST00000246151.4_PITHD1-001 7.03 0 0 0 0 0 0 0 0 5.11 14.16 0 0 0 0 12.27 0 0 0 0 0 0 0 6.85 1.12 0 0 0 3.15 0 11.91 0 14.08 0 0 0 0 0 0 6.08 0 0
ENSG00000189266 ENST00000334351.7_PNRC2-001 214.17 247.24 131.45 215.11 200.94 244.76 205.45 320.91 130.23 121.89 136.6 127.3 214.12 123.11 147.33 294.68 21.37 72.48 180.11 203.15 142.14 241.78 70.83 72.77 116.74 355.61 115.42 171.76 122.02 95.15 208.38 196.76 106.79 171.71 184.49 169.03 137.38 114.43 158.42 70.19 224.39 176.23
ENSG00000184454 ENST00000374392.2_NCMAP-001 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000236528 ENST00000455431.1_RP1-125I3.2-001 4.74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.81 0 4.03 0 0 0 0 0 0 2.16 2.94 0 0 0 0 0 0.64 0 0 0 0 0 0 0 0 0 0
ENSG00000142784 ENST00000319394.3_WDTC1-201 0 0 0 0.19 0.34 0 0 0 0.52 0 0.71 0 0.69 0 0.12 0 0 0.11 0 0 0.52 0 0.21 0 0.17 0.24 0 0 0 0.64 0.1 0.27 0.33 0 0 0.72 3.23 0.29 0.52 1.12 0.21 0.41
ENSG00000229388 ENST00000420776.1_RP11-442N24__B.1-001 0 10.74 4.28 0 0 0 0 0 0 0 0 0.65 0 0 0 0 0 18.19 0 0 5.77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.73 0 0 0 0
ENSG00000121766 ENST00000344147.5_ZCCHC17-001 129.53 169.14 152.95 159.47 111.54 67.31 148.19 82.1 163.91 107.05 140.6 74.96 184.25 163.81 113.13 102.62 115.84 143.28 160.67 134.11 73.35 80.2 114.33 168.53 54.19 143.18 196.32 64.01 124.91 238.5 167.7 75.01 390.51 65.48 105.44 118.36 188.81 192.86 113.62 104.74 122 39.1
ENSG00000162521 ENST00000373485.1_RBBP4-002 166.12 395.27 310.39 258.92 261.43 189.04 507.67 275.66 196.64 344.72 133.54 361.36 217.6 242.23 302.67 353.96 318.84 332.11 161.26 500.27 304.04 346.9 221.72 227.86 156.94 354.3 350.64 266.65 430.4 253.39 374.34 405.46 391.05 362.12 491.98 451.83 319.46 177.75 352.51 240.23 340.83 349.8
ENSG00000142920 ENST00000294517.6_ADC-002 0 0 0 0 0 0.1 0.51 0.15 0.17 0.16 0 0 0 0 0 3.2 0 0 0 0 0 0 0 0 0 0.21 0 0 0 1.51 0.1 0 0 0 0 0 0 0.4 0 0.11 0 0
ENSG00000163874 ENST00000373087.6_ZC3H12A-001 1.04 0.12 0 0 0 0 0 21.77 0.16 0 0 0 0 1.19 0.21 0 0 0 0 21.5 0 0.2 0.19 0 0 0 0 0.15 3.5 0 0 0.56 9.39 0 0 0 0 0 0 0 0 6.36
ENSG00000134690 ENST00000327331.2_CDCA8-002 40.68 59.51 51.8 123.6 99.14 224.34 130.94 105.25 8.88 172.85 28.36 4.25 68.15 104.3 0 43.06 24.5 31.8 87.4 58.69 2.94 145.39 83.63 134.31 6.34 38.78 40.56 28.79 16.34 191.49 10.6 3.87 50.86 31.4 37.32 56.26 143.5 28.23 158.52 45.97 136.91 117.74
ENSG00000228436 ENST00000433671.2_RP5-864K19.4-001 0 0 0 0 0 0 0 0 5.34 0 0 0 0 0 0 0 0 0 0 2.89 0 0 0 0 0 0 23.97 0 0 0 0 1.4 0 0 0 0 24.22 0 0 0 0 0
